C_ID Date Hour Min Lain_1 Lain_2 Lain_3 Lain_4 Lain_5 Lain_6 Lain_7 Lain_8
B 8/8/12 2 30 19 16 21 65 23 57 35 148
C 8/8/12 2 30 13 16 25 73 62 118 77 56
D 8/8/12 2 30 19 11 17 16 37 1 110 142
A 8/8/12 2 45 6 30 26 69 78 56 12 69
B 8/8/12 2 45 8 30 20 68 16 75 141 41
C 8/8/12 2 45 20 5 63 54 63 114 85 42
D 8/8/12 2 45 19 4 28 64 26 48 59 89
A 8/8/12 3 00 6 25 14 7 95 15 96 152
B 8/8/12 3 00 5 40 54 38 52 97 123 65
C 8/8/12 3 00 5 14 27 13 66 13 31 117
D 8/8/12 3 00 11 8 63 40 1 54 43 127
A 8/8/12 3 15 19 35 12 10 2 20 56 32
B 8/8/12 3 15 21 37 37 62 16 33 5 140
C 8/8/12 3 15 17 34 21 38 59 102 83 35
D 8/8/12 3 15 5 16 37 29 56 54 85 9
A 8/8/12 3 30 12 9 61 79 105 106 61 136
B 8/8/12 3 30 21 11 11 59 2 43 102 19
C 8/8/12 3 30 3 13 26 47 33 38 119 53
D 8/8/12 3 30 8 17 54 35 77 84 60 160
A 8/8/12 3 45 14 22 15 49 79 58 133 48
B 8/8/12 3 45 15 38 18 31 2 38 145 128
C 8/8/12 3 45 13 26 17 43 84 109 14 92
D 8/8/12 3 45 9 4 29 59 53 52 139 166
A 8/8/12 4 00 13 23 39 8 20 36 3 26
B 8/8/12 4 00 9 24 36 66 5 52 9 53
C 8/8/12 4 00 13 22 38 28 96 98 85 73
D 8/8/12 4 00 16 7 4 21 80 120 51 115
A 8/8/12 4 15 17 2 51 41 22 76 134 159
B 8/8/12 4 15 14 1 42 82 1 121 11 50
C 8/8/12 4 15 13 34 3 5 60 40 61 86
D 8/8/12 4 15 16 19 21 7 43 73 113 98
A 8/8/12 4 30 14 34 27 67 76 88 108 33
B 8/8/12 4 30 17 3 16 80 87 28 28 40
C 8/8/12 4 30 20 11 17 61 70 98 112 52
D 8/8/12 4 30 18 31 57 19 38 70 53 35
A 8/8/12 4 45 13 27 9 6 67 106 95 72
B 8/8/12 4 45 4 21 62 65 40 62 81 114
C 8/8/12 4 45 1 28 57 29 13 54 114 61
D 8/8/12 4 45 9 32 28 61 54 22 41 15
A 8/8/12 5 00 21 12 39 26 90 41 117 30
B 8/8/12 5 00 7 4 32 39 63 4 47 23
C 8/8/12 5 00 7 32 40 81 87 70 90 32
D 8/8/12 5 00 19 14 38 51 81 91 102 128
A 8/8/12 5 15 6 24 33 48 30 53 52 164
B 8/8/12 5 15 11 25 30 3 40 18 97 26
C 8/8/12 5 15 5 16 7 52 74 56 62 57
D 8/8/12 5 15 15 9 3 75 5 58 109 127
A 8/8/12 5 30 18 9 30 73 87 52 68 59
B 8/8/12 5 30 6 34 35 46 66 12 105 44
C 8/8/12 5 30 2 12 61 28 69 46 55 55
D 8/8/12 5 30 5 9 27 52 26 87 87 102
A 8/8/12 5 45 2 2 10 21 42 74 43 141
B 8/8/12 5 45 19 23 25 1 27 21 95 165
C 8/8/12 5 45 7 11 56 11 60 77 90 117
D 8/8/12 5 45 18 5 25 70 29 86 59 141
A 8/8/12 6 00 10 36 14 62 95 28 145 163
B 8/8/12 6 00 19 22 42 39 17 82 91 144
C 8/8/12 6 00 8 3 32 5 40 57 44 163
D 8/8/12 6 00 1 28 39 45 4 91 47 165
A 8/8/12 6 15 7 16 21 30 25 75 104 46
B 8/8/12 6 15 13 25 63 79 27 103 114 69
C 8/8/12 6 15 14 21 32 12 102 23 87 115
D 8/8/12 6 15 3 28 47 66 46 11 74 97
A 8/8/12 6 30 2 18 8 13 34 125 89 47
B 8/8/12 6 30 9 20 4 39 46 120 41 30
C 8/8/12 6 30 11 15 33 34 28 9 95 62
D 8/8/12 6 30 12 38 27 50 40 8 17 25
A 8/8/12 6 45 4 32 17 12 5 88 125 87
B 8/8/12 6 45 17 42 34 6 66 42 41 115
C 8/8/12 6 45 9 17 13 74 16 51 90 93
D 8/8/12 6 45 16 6 21 1 83 117 45 38
A 8/8/12 7 00 21 8 27 31 35 124 86 89
B 8/8/12 7 00 3 38 2 67 76 31 139 79
C 8/8/12 7 00 16 17 15 51 58 59 96 129
D 8/8/12 7 00 2 7 7 5 58 121 34 59
A 8/8/12 7 15 19 21 15 72 8 17 142 141
B 8/8/12 7 15 18 42 16 56 66 123 62 10
C 8/8/12 7 15 19 7 16 52 39 67 136 92
D 8/8/12 7 15 21 33 26 64 61 57 7 7
A 8/8/12 7 30 8 18 24 54 19 55 23 164
B 8/8/12 7 30 6 3 51 60 27 100 128 166
C 8/8/12 7 30 6 20 58 78 53 112 85 71
D 8/8/12 7 30 18 31 57 13 82 84 135 141
A 8/8/12 7 45 17 33 30 62 60 21 46 79
B 8/8/12 7 45 19 37 25 82 53 125 66 131
C 8/8/12 7 45 7 4 56 49 91 103 113 156
D 8/8/12 7 45 2 35 15 24 6 114 146 45
A 8/8/12 8 00 12 15 14 17 14 77 87 144
B 8/8/12 8 00 2 9 40 39 31 106 46 164
C 8/8/12 8 00 9 34 51 52 38 74 98 98
D 8/8/12 8 00 2 36 4 13 34 55 63 144
A 8/8/12 8 15 2 38 16 5 82 5 21 113
B 8/8/12 8 15 6 36 14 20 54 79 90 17
C 8/8/12 8 15 20 17 22 4 94 63 60 157
D 8/8/12 8 15 6 24 3 69 50 69 56 25
A 8/8/12 8 30 16 10 14 28 45 94 18 74
B 8/8/12 8 30 18 25 49 25 8 79 74 116
C 8/8/12 8 30 8 27 11 77 39 103 25 84
D 8/8/12 8 30 1 32 53 25 45 65 1 112
A 8/8/12 8 45 21 4 50 4 102 126 102 116
B 8/8/12 8 45 4 8 61 59 93 17 23 46
C 8/8/12 8 45 1 14 57 21 74 105 13 138
D 8/8/12 8 45 18 9 7 53 8 79 68 159
A 8/8/12 9 00 5 13 39 21 33 12 1 161
B 8/8/12 9 00 16 18 29 39 90 52 104 64
C 8/8/12 9 00 9 10 15 6 83 104 49 71
D 8/8/12 9 00 21 30 31 71 36 20 134 86
A 8/8/12 9 15 17 26 22 81 39 39 33 131
B 8/8/12 9 15 19 5 57 53 94 96 49 91
C 8/8/12 9 15 18 7 50 37 58 10 9 141
D 8/8/12 9 15 21 1 42 81 13 49 73 152
A 8/8/12 9 30 4 35 42 19 5 115 73 113
B 8/8/12 9 30 2 1 61 18 94 57 25 49
C 8/8/12 9 30 16 36 17 30 92 109 62 101
D 8/8/12 9 30 4 40 17 2 34 76 56 108
A 8/8/12 9 45 16 30 12 5 26 25 144 30
B 8/8/12 9 45 14 39 18 22 81 96 58 27
C 8/8/12 9 45 12 6 18 72 71 59 84 40
D 8/8/12 9 45 1 11 61 5 90 11 106 46
A 8/8/12 10 00 20 3 38 42 92 57 123 139
B 8/8/12 10 00 2 25 32 67 46 124 21 113
C 8/8/12 10 00 15 31 32 84 90 22 98 47
D 8/8/12 10 00 19 31 25 9 65 14 99 53
A 8/8/12 10 15 2 27 35 49 89 118 32 25
B 8/8/12 10 15 16 35 21 72 82 49 86 63
C 8/8/12 10 15 11 20 37 66 35 34 128 44
D 8/8/12 10 15 4 7 16 15 56 122 58 50
A 8/8/12 10 30 15 10 44 28 6 120 41 114
B 8/8/12 10 30 21 16 24 39 76 33 129 132
C 8/8/12 10 30 10 6 13 21 105 2 49 120
D 8/8/12 10 30 7 14 10 28 51 117 6 129
A 8/8/12 10 45 2 27 44 66 43 96 26 158
B 8/8/12 10 45 7 3 19 55 17 111 24 74
C 8/8/12 10 45 20 20 63 37 81 90 31 28
D 8/8/12 10 45 14 42 49 48 41 35 113 40
A 8/8/12 11 00 15 26 12 81 86 84 11 79
B 8/8/12 11 00 3 28 50 39 1 67 90 146
C 8/8/12 11 00 7 12 39 31 58 81 97 26
D 8/8/12 11 00 15 40 49 80 16 38 107 43
A 8/8/12 11 15 20 40 54 76 20 117 17 134
B 8/8/12 11 15 16 40 29 77 18 63 56 101
C 8/8/12 11 15 1 15 46 7 25 9 123 34
D 8/8/12 11 15 17 42 51 41 72 35 12 58
A 8/8/12 11 30 6 19 21 54 46 107 69 76
B 8/8/12 11 30 14 29 63 4 58 7 90 29
C 8/8/12 11 30 11 19 63 51 79 37 133 143
D 8/8/12 11 30 7 37 33 18 94 62 145 5
A 8/8/12 11 45 21 36 19 18 47 87 42 163
B 8/8/12 11 45 4 28 4 74 6 62 70 19
C 8/8/12 11 45 3 16 4 81 105 73 1 104
D 8/8/12 11 45 16 17 36 14 71 27 88 144
A 8/8/12 12 00 12 41 24 53 15 94 106 147
B 8/8/12 12 00 18 28 18 39 63 10 18 160
C 8/8/12 12 00 6 37 37 17 91 27 46 8
D 8/8/12 12 00 10 14 40 32 99 93 10 58
A 8/8/12 12 15 9 25 16 79 44 36 137 119
B 8/8/12 12 15 20 21 21 68 7 13 104 37
C 8/8/12 12 15 8 33 14 29 30 62 142 112
D 8/8/12 12 15 18 20 21 73 63 42 82 5
A 8/8/12 12 30 19 19 36 14 20 76 11 167
B 8/8/12 12 30 20 38 54 80 41 106 57 76
C 8/8/12 12 30 18 35 40 35 15 85 20 1
D 8/8/12 12 30 7 25 22 58 58 37 32 74
A 8/8/12 12 45 10 16 62 29 38 123 44 45
B 8/8/12 12 45 5 28 33 79 48 74 47 30
C 8/8/12 12 45 2 35 30 38 37 7 142 100
D 8/8/12 12 45 6 20 22 71 75 112 31 19
A 8/8/12 13 00 10 6 10 42 88 86 114 9
B 8/8/12 13 00 5 26 63 66 19 77 97 157
C 8/8/12 13 00 11 23 25 42 86 114 92 162
D 8/8/12 13 00 4 38 60 33 103 51 101 97
A 8/8/12 13 15 9 21 47 57 55 1 96 150
B 8/8/12 13 15 7 20 58 44 49 24 83 40
C 8/8/12 13 15 11 32 4 47 48 65 38 109
D 8/8/12 13 15 7 27 53 29 28 16 119 61
A 8/8/12 13 30 13 11 26 75 35 29 12 52
B 8/8/12 13 30 20 2 59 17 24 78 29 106
C 8/8/12 13 30 11 11 8 58 16 21 4 30
D 8/8/12 13 30 5 21 42 62 49 42 108 167
A 8/8/12 13 45 10 8 50 16 17 79 34 140
B 8/8/12 13 45 11 5 46 70 38 22 103 108
C 8/8/12 13 45 19 35 15 76 88 18 13 14
D 8/8/12 13 45 6 10 5 51 53 38 90 3
A 8/8/12 14 00 10 4 35 49 96 62 36 168
B 8/8/12 14 00 7 19 59 38 81 16 35 136
C 8/8/12 14 00 2 10 4 20 42 90 88 151
D 8/8/12 14 00 17 27 47 82 29 40 88 160
A 8/8/12 14 15 20 30 22 10 54 11 42 58
B 8/8/12 14 15 20 37 14 7 39 97 142 109
C 8/8/12 14 15 10 12 15 62 79 21 104 26
D 8/8/12 14 15 6 21 20 75 72 83 126 56
A 8/8/12 14 30 8 37 53 70 89 90 75 65
B 8/8/12 14 30 14 5 15 65 7 48 6 118
C 8/8/12 14 30 11 31 29 35 84 98 85 63
D 8/8/12 14 30 2 24 28 31 67 77 79 117
A 8/8/12 14 45 2 14 43 62 88 81 10 113
B 8/8/12 14 45 20 41 41 46 80 31 90 84
C 8/8/12 14 45 11 16 22 26 47 106 54 16
D 8/8/12 14 45 14 28 50 38 5 57 117 95
A 8/8/12 15 00 11 36 33 73 39 20 18 121
B 8/8/12 15 00 3 10 6 37 38 80 125 97
C 8/8/12 15 00 21 41 36 37 64 79 34 143
D 8/8/12 15 00 8 23 1 13 86 58 116 80
A 8/8/12 15 15 2 10 2 23 40 68 122 11
B 8/8/12 15 15 15 29 16 40 82 106 132 76
C 8/8/12 15 15 6 15 49 73 19 53 47 29
D 8/8/12 15 15 14 1 48 44 90 117 100 161
A 8/8/12 15 30 4 12 55 82 78 8 50 41
B 8/8/12 15 30 1 5 48 57 96 17 135 113
C 8/8/12 15 30 17 11 40 50 7 63 116 99
D 8/8/12 15 30 19 35 44 49 7 16 91 91
A 8/8/12 15 45 5 31 42 83 41 3 120 131
B 8/8/12 15 45 12 11 18 9 71 101 9 127
C 8/8/12 15 45 20 20 50 56 20 20 119 106
D 8/8/12 15 45 11 33 30 31 37 42 112 127
A 8/8/12 16 00 14 17 7 31 22 87 61 35
B 8/8/12 16 00 13 40 30 64 101 16 73 40
C 8/8/12 16 00 4 33 58 9 46 83 77 139
D 8/8/12 16 00 19 27 47 77 65 107 40 24
A 8/8/12 16 15 17 3 52 11 13 44 41 10
B 8/8/12 16 15 15 40 63 58 73 50 53 110
C 8/8/12 16 15 18 41 41 80 77 37 13 120
D 8/8/12 16 15 10 9 12 20 82 117 43 37
A 8/8/12 16 30 2 21 31 27 2 35 86 145
B 8/8/12 16 30 3 1 32 78 80 110 122 89
C 8/8/12 16 30 9 35 42 20 102 43 98 138
D 8/8/12 16 30 14 11 27 32 78 111 146 89
A 8/8/12 16 45 21 20 48 80 86 96 70 26
B 8/8/12 16 45 8 41 41 41 9 108 7 68
C 8/8/12 16 45 5 5 38 82 6 10 60 114
D 8/8/12 16 45 17 24 8 32 43 121 76 100
A 8/8/12 17 00 17 33 18 6 45 11 16 78
B 8/8/12 17 00 17 25 6 35 59 77 26 134
C 8/8/12 17 00 15 27 8 19 95 101 70 138
D 8/8/12 17 00 8 38 61 21 71 59 5 160
A 8/8/12 17 15 1 8 45 59 78 66 95 54
B 8/8/12 17 15 18 26 30 63 11 55 54 42
C 8/8/12 17 15 6 7 56 84 44 98 3 130
D 8/8/12 17 15 16 3 36 3 49 85 102 22
A 8/8/12 17 30 2 21 45 73 71 45 35 43
B 8/8/12 17 30 19 37 30 42 65 76 114 48
C 8/8/12 17 30 7 19 34 28 53 37 29 12
D 8/8/12 17 30 7 36 39 64 71 110 95 111
A 8/8/12 17 45 6 21 59 52 14 109 6 134
B 8/8/12 17 45 8 5 46 59 105 49 84 75
C 8/8/12 17 45 6 14 47 21 6 79 25 42
D 8/8/12 17 45 12 1 48 39 22 41 9 13
A 8/8/12 18 00 2 39 3 82 2 43 32 82
B 8/8/12 18 00 14 6 58 34 18 11 131 42
C 8/8/12 18 00 12 23 11 67 105 7 13 140
D 8/8/12 18 00 17 15 41 14 104 42 12 152
A 8/8/12 18 15 19 26 44 82 26 7 135 143
B 8/8/12 18 15 4 31 43 53 3 122 133 40
C 8/8/12 18 15 11 37 29 84 24 110 16 60
D 8/8/12 18 15 10 26 59 77 95 20 128 115
A 8/8/12 18 30 2 13 34 53 74 37 44 70
B 8/8/12 18 30 8 27 42 34 50 40 112 157
C 8/8/12 18 30 12 6 17 74 69 45 58 58
D 8/8/12 18 30 21 27 19 61 91 13 87 158
A 8/8/12 18 45 3 34 14 84 34 42 77 120
B 8/8/12 18 45 12 29 34 64 45 53 92 148
C 8/8/12 18 45 4 3 16 41 20 98 13 57
D 8/8/12 18 45 15 7 23 53 82 54 57 34
A 8/8/12 19 00 8 38 27 8 104 58 108 48
B 8/8/12 19 00 5 27 61 61 82 69 94 100
C 8/8/12 19 00 15 21 4 70 76 54 53 145
D 8/8/12 19 00 3 41 51 56 58 54 61 1
A 8/8/12 19 15 6 14 49 80 65 121 15 109
B 8/8/12 19 15 16 11 37 29 47 125 144 104
C 8/8/12 19 15 12 7 24 81 18 74 53 76
D 8/8/12 19 15 13 36 18 73 9 48 124 148
A 8/8/12 19 30 4 39 60 51 13 12 114 58
B 8/8/12 19 30 11 15 5 54 35 3 115 81
C 8/8/12 19 30 3 36 53 75 47 67 36 107
D 8/8/12 19 30 12 25 28 22 32 72 120 61
A 8/8/12 19 45 12 19 38 7 41 21 134 151
B 8/8/12 19 45 20 29 5 54 37 117 31 119
C 8/8/12 19 45 19 16 6 57 47 69 25 159
D 8/8/12 19 45 7 41 59 74 10 34 73 163
A 8/8/12 20 00 16 28 25 35 36 56 98 142
B 8/8/12 20 00 10 2 15 32 41 125 63 141
C 8/8/12 20 00 4 21 51 27 8 115 43 154
D 8/8/12 20 00 9 32 28 64 39 97 5 42
A 8/8/12 20 15 5 16 60 54 93 28 29 121
B 8/8/12 20 15 10 9 15 75 39 63 86 67
C 8/8/12 20 15 9 42 41 74 26 115 113 12
D 8/8/12 20 15 4 32 37 77 3 43 87 122
A 8/8/12 20 30 8 14 61 66 96 96 97 7
B 8/8/12 20 30 8 41 45 17 21 90 123 155
C 8/8/12 20 30 1 27 16 31 91 103 111 159
D 8/8/12 20 30 1 30 4 33 105 35 48 156
A 8/8/12 20 45 12 16 5 73 36 46 31 60
B 8/8/12 20 45 12 4 21 30 82 118 50 157
C 8/8/12 20 45 9 10 18 69 87 117 60 13
D 8/8/12 20 45 9 19 31 18 17 107 57 65
A 8/8/12 21 00 5 10 60 80 8 37 1 31
B 8/8/12 21 00 9 16 47 31 1 55 37 164
C 8/8/12 21 00 20 23 26 23 6 64 130 166
D 8/8/12 21 00 14 31 34 36 46 43 138 107
A 8/8/12 21 15 16 29 15 3 2 107 30 10
B 8/8/12 21 15 9 25 38 23 85 62 107 96
C 8/8/12 21 15 2 16 17 63 47 107 50 35
D 8/8/12 21 15 5 14 55 3 77 5 19 36
A 8/8/12 21 30 13 24 37 14 9 37 140 86
B 8/8/12 21 30 19 22 36 9 8 50 136 43
C 8/8/12 21 30 5 20 33 24 95 28 137 47
D 8/8/12 21 30 11 1 9 8 99 28 18 107
A 8/8/12 21 45 3 25 42 31 18 116 62 13
B 8/8/12 21 45 7 40 19 75 75 54 147 93
C 8/8/12 21 45 16 27 53 77 36 116 119 122
D 8/8/12 21 45 19 26 1 53 104 21 10 75
A 8/8/12 22 00 16 25 7 58 19 1 111 48
B 8/8/12 22 00 1 27 29 57 66 108 16 1
C 8/8/12 22 00 1 28 54 57 70 27 21 13
D 8/8/12 22 00 18 37 8 56 80 20 19 29
A 8/8/12 22 15 18 14 39 11 4 105 17 112
B 8/8/12 22 15 11 17 44 41 78 123 60 23
C 8/8/12 22 15 13 13 15 49 82 50 11 146
D 8/8/12 22 15 15 24 8 21 19 60 67 58
A 8/8/12 22 30 19 24 50 64 66 86 97 126
B 8/8/12 22 30 3 42 41 28 99 8 7 81
C 8/8/12 22 30 15 15 40 56 61 93 112 106
D 8/8/12 22 30 19 21 45 33 15 51 30 83
A 8/8/12 22 45 5 5 21 48 92 106 79 12
B 8/8/12 22 45 6 9 63 23 16 51 29 96
C 8/8/12 22 45 19 25 46 82 104 66 55 150
D 8/8/12 22 45 18 19 32 11 59 28 79 26
A 8/8/12 23 00 7 32 55 53 71 73 134 27
B 8/8/12 23 00 8 35 25 28 27 34 147 157
C 8/8/12 23 00 10 34 9 45 95 5 8 32
D 8/8/12 23 00 20 8 11 42 36 27 89 143
A 8/8/12 23 15 11 11 5 79 98 24 138 92
B 8/8/12 23 15 18 27 32 44 19 120 91 17
C 8/8/12 23 15 19 33 35 31 25 71 142 8
D 8/8/12 23 15 13 21 23 45 41 82 83 20
A 8/8/12 23 30 6 16 38 47 59 119 114 128
B 8/8/12 23 30 1 17 60 76 86 91 31 102
C 8/8/12 23 30 12 12 38 43 93 46 38 168
D 8/8/12 23 30 5 7 47 22 63 104 84 83
A 8/8/12 23 45 20 40 7 41 48 16 84 56
B 8/8/12 23 45 9 38 27 41 9 110 136 164
C 8/8/12 23 45 18 5 60 84 80 94 14 98
D 8/8/12 23 45 5 41 61 60 94 2 116 84
