C_ID Date Hour Min Main_1 Main_2 Main_3 Main_4 Main_5 Main_6 Main_7 Main_8
D 8/8/12 9 00 19 2 41 69 10 106 5 97
A 8/8/12 9 15 6 3 12 77 24 88 36 25
B 8/8/12 9 15 10 16 23 61 30 68 27 70
C 8/8/12 9 15 19 38 50 74 96 117 101 67
D 8/8/12 9 15 21 39 10 78 94 1 122 56
A 8/8/12 9 30 12 25 36 77 71 124 70 28
B 8/8/12 9 30 6 14 15 68 85 83 109 5
C 8/8/12 9 30 5 17 53 3 53 113 74 130
D 8/8/12 9 30 8 17 6 83 13 19 137 75
A 8/8/12 9 45 1 33 12 41 68 120 136 133
B 8/8/12 9 45 11 12 25 29 22 50 98 129
C 8/8/12 9 45 10 20 28 66 61 86 17 5
D 8/8/12 9 45 7 12 8 1 71 71 71 73
A 8/8/12 10 00 3 18 44 57 5 111 108 93
B 8/8/12 10 00 13 42 30 32 41 6 20 25
C 8/8/12 10 00 21 37 16 14 4 72 99 116
D 8/8/12 10 00 7 13 57 4 49 65 95 142
A 8/8/12 10 15 4 13 46 42 83 6 12 167
B 8/8/12 10 15 19 12 7 78 28 111 42 120
C 8/8/12 10 15 4 18 59 16 83 106 50 49
D 8/8/12 10 15 17 12 5 10 42 38 85 34
A 8/8/12 10 30 14 9 61 83 81 93 15 107
B 8/8/12 10 30 17 38 63 2 76 23 42 167
C 8/8/12 10 30 12 37 9 76 77 97 39 60
D 8/8/12 10 30 1 42 20 22 39 24 64 6
A 8/8/12 10 45 21 39 3 15 95 29 142 3
B 8/8/12 10 45 17 28 48 60 73 30 42 86
C 8/8/12 10 45 9 2 32 28 81 82 88 72
D 8/8/12 10 45 12 9 18 42 32 60 54 147
A 8/8/12 11 00 11 9 40 9 9 102 120 111
B 8/8/12 11 00 5 13 5 1 7 40 66 136
C 8/8/12 11 00 4 27 45 43 87 95 75 6
D 8/8/12 11 00 16 31 39 73 10 54 80 43
A 8/8/12 11 15 14 36 24 67 24 95 121 18
B 8/8/12 11 15 11 26 38 80 79 90 135 69
C 8/8/12 11 15 7 22 27 39 83 46 22 118
D 8/8/12 11 15 21 14 62 33 68 42 16 120
A 8/8/12 11 30 18 27 59 23 26 44 20 148
B 8/8/12 11 30 1 18 61 48 68 89 127 143
C 8/8/12 11 30 4 18 17 19 61 96 100 162
D 8/8/12 11 30 15 32 2 10 92 60 33 129
A 8/8/12 11 45 10 15 62 49 3 110 134 86
B 8/8/12 11 45 5 19 54 76 71 71 65 110
C 8/8/12 11 45 4 6 58 70 10 29 36 59
D 8/8/12 11 45 6 36 27 5 72 16 6 161
A 8/8/12 12 00 20 33 10 62 52 77 46 91
B 8/8/12 12 00 11 22 58 82 78 73 117 61
C 8/8/12 12 00 15 20 2 26 25 6 1 67
D 8/8/12 12 00 2 14 51 22 102 73 106 137
A 8/8/12 12 15 14 29 7 67 58 105 71 82
B 8/8/12 12 15 6 17 51 68 77 5 14 84
C 8/8/12 12 15 5 7 16 58 97 63 19 106
D 8/8/12 12 15 14 2 54 63 69 14 62 146
A 8/8/12 12 30 2 37 33 64 10 105 86 150
B 8/8/12 12 30 20 36 11 38 61 26 71 101
C 8/8/12 12 30 2 1 16 1 6 109 111 99
D 8/8/12 12 30 6 30 13 47 66 125 43 109
A 8/8/12 12 45 11 4 2 57 4 111 114 47
B 8/8/12 12 45 19 29 43 78 18 48 19 33
C 8/8/12 12 45 16 34 43 24 57 53 7 133
D 8/8/12 12 45 8 6 34 60 85 66 73 115
A 8/8/12 13 00 10 7 18 49 31 34 31 31
B 8/8/12 13 00 11 28 62 23 44 105 27 137
C 8/8/12 13 00 12 14 12 48 30 58 24 131
D 8/8/12 13 00 9 5 30 20 11 122 28 87
A 8/8/12 13 15 6 35 60 42 79 34 7 24
B 8/8/12 13 15 6 25 46 42 24 106 117 166
C 8/8/12 13 15 21 15 27 74 20 31 38 14
D 8/8/12 13 15 16 18 44 16 43 78 77 112
A 8/8/12 13 30 8 38 44 38 35 22 65 113
B 8/8/12 13 30 12 9 37 56 54 88 20 42
C 8/8/12 13 30 8 28 5 21 17 10 72 39
D 8/8/12 13 30 17 35 54 48 67 95 96 113
A 8/8/12 13 45 3 6 10 41 98 32 81 53
B 8/8/12 13 45 15 15 14 66 18 86 52 21
C 8/8/12 13 45 3 2 49 59 12 29 2 127
D 8/8/12 13 45 20 5 39 37 73 82 109 10
A 8/8/12 14 00 1 14 1 53 49 100 77 101
B 8/8/12 14 00 5 31 17 75 11 9 88 26
C 8/8/12 14 00 16 11 12 24 100 123 144 31
D 8/8/12 14 00 14 3 39 67 52 75 138 61
A 8/8/12 14 15 9 11 56 77 87 9 77 10
B 8/8/12 14 15 10 9 24 2 24 18 6 145
C 8/8/12 14 15 11 4 61 2 61 77 81 9
D 8/8/12 14 15 6 20 33 59 97 109 60 19
A 8/8/12 14 30 15 30 30 30 99 48 104 38
B 8/8/12 14 30 18 21 15 18 47 23 121 132
C 8/8/12 14 30 20 15 48 79 95 51 130 150
D 8/8/12 14 30 5 5 62 15 95 94 44 141
A 8/8/12 14 45 7 20 25 1 74 124 34 105
B 8/8/12 14 45 16 18 30 40 70 60 16 76
C 8/8/12 14 45 8 34 15 6 87 82 20 39
D 8/8/12 14 45 20 32 42 21 36 65 113 13
A 8/8/12 15 00 14 13 21 75 2 23 36 133
B 8/8/12 15 00 13 32 48 72 83 37 8 66
C 8/8/12 15 00 5 9 3 39 27 77 67 102
D 8/8/12 15 00 17 9 14 79 14 58 144 59
A 8/8/12 15 15 3 1 59 3 83 30 134 43
B 8/8/12 15 15 18 11 48 32 77 117 120 24
C 8/8/12 15 15 19 17 53 10 11 74 1 91
D 8/8/12 15 15 5 9 20 26 20 108 12 34
A 8/8/12 15 30 3 15 53 40 98 56 57 92
B 8/8/12 15 30 17 30 7 7 41 82 80 38
C 8/8/12 15 30 18 4 18 8 28 107 139 97
D 8/8/12 15 30 13 25 37 30 45 124 34 25
A 8/8/12 15 45 2 5 46 20 37 10 121 34
B 8/8/12 15 45 21 39 29 84 70 95 59 29
C 8/8/12 15 45 8 5 2 34 69 86 62 39
D 8/8/12 15 45 8 4 44 12 77 16 86 124
A 8/8/12 16 00 8 4 16 30 99 54 56 125
B 8/8/12 16 00 15 28 31 13 51 64 80 88
C 8/8/12 16 00 21 10 47 7 20 46 87 8
D 8/8/12 16 00 20 22 20 56 3 71 44 82
A 8/8/12 16 15 9 2 4 72 66 97 31 120
B 8/8/12 16 15 9 30 54 48 77 25 18 136
C 8/8/12 16 15 2 10 4 15 79 22 91 93
D 8/8/12 16 15 14 27 5 83 22 73 79 157
A 8/8/12 16 30 14 33 51 66 32 48 69 107
B 8/8/12 16 30 11 36 12 25 35 14 44 93
C 8/8/12 16 30 1 38 41 59 28 51 97 47
D 8/8/12 16 30 21 10 41 11 21 57 65 102
A 8/8/12 16 45 9 3 10 14 92 68 48 7
B 8/8/12 16 45 8 37 11 30 19 66 34 49
C 8/8/12 16 45 5 42 11 58 66 41 127 127
D 8/8/12 16 45 6 4 44 9 93 59 27 7
A 8/8/12 17 00 4 28 49 2 27 68 135 79
B 8/8/12 17 00 10 22 28 65 19 90 10 93
C 8/8/12 17 00 3 13 18 15 78 28 57 86
D 8/8/12 17 00 21 42 55 82 19 114 134 129
A 8/8/12 17 15 6 17 19 33 36 83 61 74
B 8/8/12 17 15 4 26 42 50 26 121 143 146
C 8/8/12 17 15 2 27 40 16 56 48 58 14
D 8/8/12 17 15 11 31 51 63 104 6 114 52
A 8/8/12 17 30 5 1 24 26 5 22 143 83
B 8/8/12 17 30 18 39 32 70 29 70 14 131
C 8/8/12 17 30 12 31 55 64 93 9 5 168
D 8/8/12 17 30 5 3 13 40 23 21 139 35
A 8/8/12 17 45 7 13 44 68 29 46 108 27
B 8/8/12 17 45 21 10 38 46 20 98 87 135
C 8/8/12 17 45 19 18 42 78 75 74 69 133
D 8/8/12 17 45 13 33 42 14 82 70 83 167
A 8/8/12 18 00 21 2 56 76 99 65 128 162
B 8/8/12 18 00 20 13 39 62 92 114 92 80
C 8/8/12 18 00 12 18 43 60 98 25 124 167
D 8/8/12 18 00 21 28 57 73 61 61 118 32
A 8/8/12 18 15 15 2 39 54 98 115 78 74
B 8/8/12 18 15 2 40 13 38 27 27 52 55
C 8/8/12 18 15 20 25 35 14 46 25 48 22
D 8/8/12 18 15 17 21 33 51 54 31 118 56
A 8/8/12 18 30 18 2 35 4 18 105 129 21
B 8/8/12 18 30 20 39 3 60 24 125 136 150
C 8/8/12 18 30 8 27 59 24 15 108 11 124
D 8/8/12 18 30 10 2 14 34 53 15 107 161
A 8/8/12 18 45 16 36 20 13 59 70 9 91
B 8/8/12 18 45 17 1 48 47 74 66 73 119
C 8/8/12 18 45 8 16 32 11 99 58 34 59
D 8/8/12 18 45 8 6 39 26 46 47 108 99
A 8/8/12 19 00 20 10 38 83 1 45 35 38
B 8/8/12 19 00 2 1 1 2 61 10 33 49
C 8/8/12 19 00 7 26 58 61 79 36 142 83
D 8/8/12 19 00 20 21 25 28 25 38 144 127
A 8/8/12 19 15 15 41 3 49 43 67 83 120
B 8/8/12 19 15 5 29 30 11 81 120 40 30
C 8/8/12 19 15 12 3 51 8 50 79 62 118
D 8/8/12 19 15 12 39 13 45 84 24 90 168
A 8/8/12 19 30 11 37 20 82 72 45 29 88
B 8/8/12 19 30 14 35 50 77 19 53 115 153
C 8/8/12 19 30 12 25 54 23 2 95 113 84
D 8/8/12 19 30 14 10 44 77 4 38 118 142
A 8/8/12 19 45 17 29 3 17 76 13 43 33
B 8/8/12 19 45 16 9 40 35 76 95 136 1
C 8/8/12 19 45 15 38 44 24 31 119 23 72
D 8/8/12 19 45 13 7 34 44 89 118 101 139
A 8/8/12 20 00 19 9 58 23 47 8 1 44
B 8/8/12 20 00 20 27 40 54 30 31 126 168
C 8/8/12 20 00 8 35 1 15 21 62 109 2
D 8/8/12 20 00 17 21 24 33 16 46 65 79
A 8/8/12 20 15 6 10 36 20 80 65 73 42
B 8/8/12 20 15 12 36 29 54 83 23 106 72
C 8/8/12 20 15 1 5 27 82 67 84 100 132
D 8/8/12 20 15 16 2 54 46 88 109 31 53
A 8/8/12 20 30 6 21 42 11 59 93 136 116
B 8/8/12 20 30 3 29 49 38 15 104 100 137
C 8/8/12 20 30 1 25 39 59 56 96 19 47
D 8/8/12 20 30 16 24 42 1 87 92 23 148
A 8/8/12 20 45 8 35 55 81 81 2 64 20
B 8/8/12 20 45 20 36 14 8 26 60 132 117
C 8/8/12 20 45 17 41 15 34 81 6 35 4
D 8/8/12 20 45 5 36 27 70 1 29 63 119
A 8/8/12 21 00 20 42 52 65 29 79 28 11
B 8/8/12 21 00 10 8 30 50 105 51 76 102
C 8/8/12 21 00 16 4 60 8 28 102 26 93
D 8/8/12 21 00 14 29 52 2 33 83 28 55
A 8/8/12 21 15 8 33 12 51 104 108 51 10
B 8/8/12 21 15 2 20 11 84 33 113 104 12
C 8/8/12 21 15 6 31 25 69 98 41 14 66
D 8/8/12 21 15 8 36 31 53 66 36 87 45
A 8/8/12 21 30 3 40 40 40 87 124 9 106
B 8/8/12 21 30 5 19 62 27 11 29 91 104
C 8/8/12 21 30 17 27 15 50 70 111 21 14
D 8/8/12 21 30 17 4 6 58 91 50 117 10
A 8/8/12 21 45 11 12 50 36 72 37 72 53
B 8/8/12 21 45 7 39 35 51 28 87 59 132
C 8/8/12 21 45 15 26 8 40 40 95 71 24
D 8/8/12 21 45 7 10 19 18 98 34 140 40
A 8/8/12 22 00 1 25 21 41 50 8 115 107
B 8/8/12 22 00 15 28 34 74 75 69 32 18
C 8/8/12 22 00 10 18 46 39 102 30 40 19
D 8/8/12 22 00 9 3 47 21 77 24 33 56
A 8/8/12 22 15 2 26 57 57 11 72 15 23
B 8/8/12 22 15 17 21 38 15 36 13 34 18
C 8/8/12 22 15 8 37 44 52 38 75 98 88
D 8/8/12 22 15 9 13 6 68 18 55 112 146
A 8/8/12 22 30 21 7 12 3 50 12 89 57
B 8/8/12 22 30 2 6 26 44 8 78 86 53
C 8/8/12 22 30 19 31 44 80 46 15 121 151
D 8/8/12 22 30 17 34 63 79 17 37 106 65
A 8/8/12 22 45 6 1 51 51 51 118 66 130
B 8/8/12 22 45 18 17 37 80 84 48 65 45
C 8/8/12 22 45 10 33 23 42 12 11 131 131
D 8/8/12 22 45 19 13 8 57 63 5 39 69
A 8/8/12 23 00 5 41 28 33 6 44 116 165
B 8/8/12 23 00 13 4 52 42 46 86 141 84
C 8/8/12 23 00 10 34 23 25 32 98 5 116
D 8/8/12 23 00 3 25 8 4 42 121 80 80
A 8/8/12 23 15 7 32 46 38 10 81 114 81
B 8/8/12 23 15 15 40 48 16 92 100 42 90
C 8/8/12 23 15 6 24 23 31 96 60 59 28
D 8/8/12 23 15 20 19 42 6 50 42 105 19
A 8/8/12 23 30 21 9 21 68 52 9 83 137
B 8/8/12 23 30 12 32 3 5 5 125 86 152
C 8/8/12 23 30 7 37 63 64 88 59 23 124
D 8/8/12 23 30 15 29 24 66 75 55 137 144
A 8/8/12 23 45 12 3 58 40 18 118 48 85
B 8/8/12 23 45 13 14 23 11 88 72 2 25
C 8/8/12 23 45 1 21 59 41 103 3 67 157
D 8/8/12 23 45 18 2 59 19 3 70 53 38
